rank,product_image,product_name,product_collection,date,price
1,https://lh3.googleusercontent.com/FhqNX0gMfkXmgQnHuM5RdtNGg1Tie55GOfy3K5s_ovIOjj80tOcMlzc2xEJ0jOwpbehwOFKKTDUNhmSxTc9HALo1jwpfr4C2bPp3=s128,Chromie Squiggle #4697,Art Blocks Curated,3 days ago,$2.88M
2,https://lh3.googleusercontent.com/u3ad_6LuUOQ21gK8V3zZhaPZNg5M9q-uaTqfuH8BhcdpfC2Uot7oVZBvtWzA2o9Ni5JIrA12PC3mcrxLwG5IFNMA1zOcq7aTYI3nsg=s128,Chromie Squiggle #7583,Art Blocks Curated,8 days ago,$2.81M
3,https://lh3.googleusercontent.com/1XWKRwcBDwCOgOQB_G0wFV88CKyOXmNgEBpQ07v1co4XQslWezaYp8p8KkmXewu84TMXGarvpQZu10bdK4cPktJABYqZw3_2iHOnCw=s128,Ringers #220,Art Blocks Curated,about 7 hours ago,$2.2M
4,https://lh3.googleusercontent.com/2YaoBxhNw_tLuFqCKfKh1rrrihn5HFSr8hjL7SVaQYT_zavqQZCkw3I8ml55DjN6jQGNdrlwJLjqavW3oZ1NSpGG7xLf3dQ5Qd8mEvc=s128,Ringers #621,Art Blocks Curated,about 7 hours ago,$2.05M
5,https://lh3.googleusercontent.com/yUb8FgE2USDdRzfBzEgZcvTb6F6_Y06uHB0YhMmguOApVqaSzNvb_-3DvdKI_bUrFi1sMBB2RHn7EZcK5dTS8A9x61jX7ld02aw1bA=s128,Fidenza #547,Art Blocks Curated,26 days ago,$1.82M
6,https://lh3.googleusercontent.com/Grr_KI5N4yBrt6kcjoBjT9wTgTugxHzD1S2p1bVp6C44z8V3PTwuzd3ujk9rVWgr1J1hI1ue2eszBqhXZ9C1ujaszqrbdlxGY3YwqQ=s128,Chromie Squiggle #6339,Art Blocks Curated,11 days ago,$1.68M
7,https://lh3.googleusercontent.com/OVF1PGf8p1an8ovbmU1nzOQaAtzylTmaHU_vo5SFQWKvY7hxEka29y7YImJLOE-UiVkyxcFrl2HPK5gPDSWe76b_RjlTcseDlEUm-DE=s128,Fidenza #229,Art Blocks Curated,about 1 month ago,$1.63M
8,https://lh3.googleusercontent.com/Fu348e5GNd_vnkfLI_pG1RhNp2wFCqjarQCyG1Vr1Rl6sZdEG4YFZ65mJeE0Wc4YrcXbXtaz1aPiSoPdrDlQ0_xfXInnANIScjHyTg=s128,Fidenza #6,Art Blocks Curated,29 days ago,$1.58M
9,https://lh3.googleusercontent.com/_4Gbe4ChdoXp161sjMDlj8o4wZLnmrYj8U-6skQo-FNYLRyyXL5OxtJoh4CnBCzkcePAmhg6h6MR7hsbuImH53LDnvh_v4PXvvhP-A=s128,Fidenza #135,Art Blocks Curated,21 days ago,$1.53M
10,https://lh3.googleusercontent.com/rbO4asufpfApv1ydfXdMjbrF4CvXR-CG08j6k11vyJDG1W0yu5nOBrvX_2wqBVFgtxeG78j9O7Gk985BbXPflIv9RFm482nHXEeQMg=s128,Ringers #669,Art Blocks Curated,about 1 month ago,$1.31M
