rank,product_image,product_name,product_collection,date,price
1,https://lh3.googleusercontent.com/32XPeyqoDwxokwJGg8-6euZ9mK7ZJAloWpQJmfS8LAjXKOwSWvq_ha7mXRskuMo6aiM_FE7sejS4JfenN-oyZ5_A0QjFeOxIBKwS=s128,CryptoPunk #8857,CryptoPunks,17 days ago,$6.68M
2,https://lh3.googleusercontent.com/nEj-anJg40Xbz-2MK-zbAYN9lkDinG8LQCg3BZxwypZm_yki2M9YCLiTVY8iLx74jHtnJ94xwbGsh1uLdq6ojnE=s128,CryptoPunk #6275,CryptoPunks,24 days ago,$5.12M
3,https://lh3.googleusercontent.com/nEj-anJg40Xbz-2MK-zbAYN9lkDinG8LQCg3BZxwypZm_yki2M9YCLiTVY8iLx74jHtnJ94xwbGsh1uLdq6ojnE=s128,CryptoPunk #6275,CryptoPunks,24 days ago,$3.89M
4,https://lh3.googleusercontent.com/qzc94UI1CAr-M_7hYIRr-7atJht7rnakvTGYd62e-8x3q2-Fg9cMWDrd2k8Nm6tU_U5fOUEFMgjEflunDSlUR7WoOa-bEsq0wMFNGNc=s128,CryptoPunk #6817,CryptoPunks,about 1 month ago,$1.54M
5,https://lh3.googleusercontent.com/Na0N3knk2CkiPa2rkFyt-lRY4DfS5sa6jVeAcPwMWBR6l_xvelgVRYeAlb3qf0GTo-jjtGGk9OGOSj9PO6-wy9TH9fsetM-VuMD7Bg=s128,CryptoPunk #9952,CryptoPunks,30 days ago,$1.23M
6,https://lh3.googleusercontent.com/Eb6gOaWs27fOsphvD3IucjVAjciZSUTZ_dgvLZj2DkA2iMWKQJQ3GPdFDbWoqMMSKgsBjmG-XhkQfU_h3hXUbLFWJg=s128,CryptoPunk #5827,CryptoPunks,14 days ago,$1.22M
7,https://lh3.googleusercontent.com/8KUNRUHTUFS4ch_l9-E--g7lAwVT8oaO_XItXhLOP9FwwMlIZGOIwReKfZsXYFSnSMqZh2Cxaly2N2G1VxWUm84YFNmYYh9yGF4l-Q=s128,CryptoPunk #6578,CryptoPunks,3 days ago,$1.03M
8,https://lh3.googleusercontent.com/C8eYgNQU5qIPL8LpolFj7G50AyTcshe9FB3vJTwbILNyrTm0E1zezYsCfCQomMUtpBcpz8MCJbj-oAduuXeLMfVXFoPD24pcToVv=s128,CryptoPunk #3022,CryptoPunks,about 1 month ago,$992k
9,https://lh3.googleusercontent.com/MX9EYV4p2aNjelCNhDaENDWoPl5i5YyW22QrOmXU-dxk_flfHgHvoLVRnugTmcPNBKK5heUPi51gGuO6YLPuUgkTocNlPfels4lS=s128,CryptoPunk #9844,CryptoPunks,12 days ago,$977k
10,https://lh3.googleusercontent.com/KmPfm4qogtcsZAy5E_qv_Jo8aSkKbcXzBzF022D1XWVjYwFf8XdrKtHKzVbPse8vSl_vfyN7yhfhAsiJ7FdH2POU9B9p4qzTwxMZy5A=s128,CryptoPunk #4608,CryptoPunks,5 days ago,$896k
11,https://lh3.googleusercontent.com/qHi1XyybiH5y6EPIsvYb_bdo0G4o6C0nnJLLvsQdPxGPZbUXR7iq06KyCOqA_9GyxWk1sF7bKe06QUr67yhX39Yf_IBKXxMLBn8UAMg=s128,CryptoPunk #5169,CryptoPunks,21 days ago,$767k
12,https://lh3.googleusercontent.com/GGJ11kjGGHKIBmYU7WepZ0OZ-hgTsxkS1ULoVKEvFzFZ00Cg4dQolI1FLok9m_RAOELmilk5HNbMyInFurlDPA9MAth9C5ml0BS9Yw=s128,CryptoPunk #4347,CryptoPunks,about 1 month ago,$710k
13,https://lh3.googleusercontent.com/PR0xOjRsgiF1D9B8jwcHY2LAhsA_3sh1bmiHL-imgzmJb4S-71nsUPiqsiV2ndMFxlqkA2OVb7cz5l5z555H5rqweJ6zY64Ja6r2mQ=s128,CryptoPunk #2572,CryptoPunks,25 days ago,$701k
14,https://lh3.googleusercontent.com/OILOMG1VHoHV5B7jfPVMS4GTB_PN1Hl2OJ_ig18cX3ACZ2RIkDtp5SoUqdv9E2ujFHKCHDLtaQyYry0pBBnfAzdNWNdXC3rnFsQDfQ=s128,CryptoPunk #610,CryptoPunks,5 days ago,$694k
15,https://lh3.googleusercontent.com/jI-gLQmfiWOHHyIe79uX13jjWN2bJQziOpkJxa_jQa_pUOtY1U6Oz4wfluMbeVsn4Ft4Hrocq2P_8Zv2F2sKJzyLTnWNPyAORNAT=s128,CryptoPunk #7163,CryptoPunks,24 days ago,$681k
16,https://lh3.googleusercontent.com/9oCqA9TOihoQkUAZiM94RVvhwft7nzq7SLug-OzSrAODpy157q_7qSP0a1Usp6Z0tEqpvRm7TRWKhoLbDnjiaqhM=s128,CryptoPunk #9019,CryptoPunks,4 days ago,$676k
17,https://lh3.googleusercontent.com/DXUQgL7cLd9acOfBlageNkmIEhSaZ7NIjw5h9-fbm2p_om6v_2lJK1Nn7BF2eCPXGNzQyecqMLnwSIw1G7WKuOiKZI9hGRq40tJH4xs=s128,CryptoPunk #608,CryptoPunks,about 1 month ago,$656k
18,https://lh3.googleusercontent.com/CTY4D7sbxmbEi6O5rya4O4ZDp5C_XhKCPrHa7zEZYD7fEu5kjcwI0WeaAQazdaVsG4qw3BzPfLjEf2Vto0WxKjENhpTB_9umyY_g=s128,CryptoPunk #4396,CryptoPunks,12 days ago,$650k
