rank,product_image,product_name,product_collection,date,price
1,https://lh3.googleusercontent.com/J2bvZFSrmDTTczpDheldVDYbwJZS1VApoWwiO8UXOGx2iNtkjJNHl8JXbWl6FjNOdCe0NHzrxdGx7IgUpJ-NqvIi=s128,Some Asshole,SuperRare,1 day ago,$3.8M
2,https://lh3.googleusercontent.com/kVXc9_maaBNRhm_N0rFKk3TePsErgI83EqKD9NldgG-ayCFZIdDMAfHqjRHiJiV0IzvNzcH5v3Is8gV4RzAwKHNN=s128,All Time High in the City,SuperRare,4 days ago,$2.92M
3,https://lh3.googleusercontent.com/4w0cDCwn83a2IPBWvTQCYAtaKWP1eOYzRO4XqzuiOf5iHbbYLRi-5B0Vjz8r9F2LsC6S-yBmKj8hVNz4ZqhMBiOEqQ=s128,AI Generated Nude Portrait #7 Frame #193,SuperRare,27 days ago,$757k
4,https://lh3.googleusercontent.com/zZVjc7raE-2jFDAtDiDGBLK7NsahyXy6yXKVx118YMBvEyNWdKKCnlo9Pvi0y3B6tO1brdY7WVyaxVhf5MAg7j3x=s128,AI Generated Nude Portrait #7 Frame #96,SuperRare,30 days ago,$725k
5,https://lh3.googleusercontent.com/B975c_7F5C9M8Lu2v2vG-ub5ZE0tuGe-494UIauK4XXf2zNfGmPCT1OA6j3i6qodTtgFYH5fBJum_TIeFmuupFk=s128,LIES,SuperRare,29 days ago,$708k
6,https://lh3.googleusercontent.com/2ZOR163UeXyODnXAh7DcAHYOyfBxP6XEFaCUmZeP4VwqY3Cuwpzz_p-fs5uJNzWaAnXnWWJNPFDQIGQfDlFp4bSp=s128,One squeeze is enough for a sink full of dishes,SuperRare,17 days ago,$556k
7,https://lh3.googleusercontent.com/aMCJOi7-Szgq4d32cZIiEMjP3dLs1pfJvuD9FnrLGwoBjUHL7Rk42rQpjZT1IYClQXBnS_PuodIUXHuyCAWfBmfUKt6b53CTo35Wrw=s128,#FreeHawaiiPhoto,SuperRare,9 days ago,$310k
8,https://lh3.googleusercontent.com/bhageDLzL9GsdQQd17eoGoN2XooyLCnIwWH-tyVKUn6-r4T6wfBxPyk4nZCpZmSjmmX5h4CGFGFM1uDheernKxKHjoJohcCwVv62=s128,The Living Doodle,SuperRare,about 23 hours ago,$194k
9,https://lh3.googleusercontent.com/WKVVBfB6EPZSpVvW3U9-YFsrajDyUuH6215fv8yVTbbmqJTqZ_Dbz_KXp6lGsCbKko2Ozgg9rnsno1mFDS8m402pZsBiTSbqgGQC=s128,[ ] All that remains,SuperRare,27 days ago,$194k
10,https://lh3.googleusercontent.com/ZGBfzj8Wl_YueIIufj1Vz1PZDGMhP0QQullWlwTGvCDhSoETrkZwGS9_vuR9PT3uAyvSupdjnaDnr5XXYgWHWUJWK7QhwbBi2fGF=s128,HACK of a BEAR - The Scientist,SuperRare,6 days ago,$152k
