date,hash_add_etherscan,mint_link_cryptoslam,nft,price_eth,price_usd,seller_profil_cryptoslam,seller_add,buyer_profil_cryptoslam,buyer_add
26 seconds ago,https://explorer.roninchain.com/tx/0xb519de774ef542a1ae42e2a2f4290b12b21bb1a2db7861ed435c7d893f1ad103,https://www.cryptoslam.io/axie-infinity/mint/771594,Axie #771594,0.08999 ETH,$253.75,https://www.cryptoslam.io/owner/0x1277f86c5f10760840783afc8330f23267924968,0x1277f86c5f10760840783afc8330f23267924968,https://www.cryptoslam.io/owner/0x56b0ebeb59b9afde28991876b1ba6fb01e9ee166,0x56b0ebeb59b9afde28991876b1ba6fb01e9ee166
26 seconds ago,https://explorer.roninchain.com/tx/0x66890b5ee699db353b85daa08b80892a519f3d4d30747cda5bafe069f2c668f6,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6522165,Axie Infinity (SN# 6522165),0.05210 ETH,$146.91,https://www.cryptoslam.io/owner/0x722af713dfc21996a7ab1cdd9da48e9fc8785698,0x722af713dfc21996a7ab1cdd9da48e9fc8785698,https://www.cryptoslam.io/owner/0xcf5a1ee0e3659157d70aa7e7eca7fb68c1893cd7,0xcf5a1ee0e3659157d70aa7e7eca7fb68c1893cd7
26 seconds ago,https://explorer.roninchain.com/tx/0x8abbde8efbfd58b91eaacea24421484cca8707b6e9f4300f16ece9bdf2e2cd1c,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6579889,Axie Infinity (SN# 6579889),0.07725 ETH,$217.83,https://www.cryptoslam.io/owner/0xe504e2a1106810008151b9950a3ed6f19f1e5f3d,0xe504e2a1106810008151b9950a3ed6f19f1e5f3d,https://www.cryptoslam.io/owner/0xb56e5d2b79a9f4a27669b8c0dca3e0c50c8a767a,0xb56e5d2b79a9f4a27669b8c0dca3e0c50c8a767a
26 seconds ago,https://explorer.roninchain.com/tx/0x3451059dc4972fd4d8bf128bc0d9ba6b24a7ac13be911ef2150f049bda5160d2,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6637757,Axie Infinity (SN# 6637757),0.15000 ETH,$422.96,https://www.cryptoslam.io/owner/0x1d43a2c80faa050ec7eeb4ef9b21fdf1b5c36139,0x1d43a2c80faa050ec7eeb4ef9b21fdf1b5c36139,https://www.cryptoslam.io/owner/0x8cfd7004ff9aec0024bba94ae755284b5801c775,0x8cfd7004ff9aec0024bba94ae755284b5801c775
26 seconds ago,https://explorer.roninchain.com/tx/0xcec95ef8a45ff16526eee2907f3c525bce1455cff55ba0b5b88835f3615b4471,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6584846,Axie Infinity (SN# 6584846),0.07873 ETH,$222.01,https://www.cryptoslam.io/owner/0x98cb54dcfe12fb22d39ad5126f692b4111e5547f,0x98cb54dcfe12fb22d39ad5126f692b4111e5547f,https://www.cryptoslam.io/owner/0x725b2937b863192e3af7a0d457cd621d014a1fc2,0x725b2937b863192e3af7a0d457cd621d014a1fc2
26 seconds ago,https://explorer.roninchain.com/tx/0x9bd933af6a865581323504f45e9e5a78d9069dfd570b0849ac1948bf43454c5e,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6553188,Axie Infinity (SN# 6553188),0.06800 ETH,$191.74,https://www.cryptoslam.io/owner/0x2750b9572ed2dfbe6eba13b393b99ecc1f3d3e58,0x2750b9572ed2dfbe6eba13b393b99ecc1f3d3e58,https://www.cryptoslam.io/owner/0xa9f3cfb252cde6802a28cecc0a622ba5ed36db80,0xa9f3cfb252cde6802a28cecc0a622ba5ed36db80
26 seconds ago,https://explorer.roninchain.com/tx/0xdda11a420cd8c81e17fd6dab6c66c4b953e47f51638b69d69a101acbe0f73cb7,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6650429,Axie Infinity (SN# 6650429),0.08350 ETH,$235.45,https://www.cryptoslam.io/owner/0x4808122e8c2abbc2be14a02d961c7ae8dd37db34,0x4808122e8c2abbc2be14a02d961c7ae8dd37db34,https://www.cryptoslam.io/owner/0xa7eb644a967396fb2e403f7454326850ed395b76,0xa7eb644a967396fb2e403f7454326850ed395b76
26 seconds ago,https://explorer.roninchain.com/tx/0x2214285b166c3c102038f4e241e073263d280a2d67b60b1478962f8cdaddd370,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6653367,Axie Infinity (SN# 6653367),0.10991 ETH,$309.93,https://www.cryptoslam.io/owner/0x2933d5075cea2617b5df412e2aa55a14a3087a41,0x2933d5075cea2617b5df412e2aa55a14a3087a41,https://www.cryptoslam.io/owner/0xe97a21a84eab23e6294b2a214fbc40dae00a952c,0xe97a21a84eab23e6294b2a214fbc40dae00a952c
29 seconds ago,https://explorer.roninchain.com/tx/0xa262dfea1f2ffa24cacea1cffbe48768137487022b41462f01457cdaf20a4b6d,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6458846,Axie Infinity (SN# 6458846),0.09955 ETH,$280.70,https://www.cryptoslam.io/owner/0x5d3a9347aebe4cec787180f05c8e57bc7fd6ee09,0x5d3a9347aebe4cec787180f05c8e57bc7fd6ee09,https://www.cryptoslam.io/owner/0xa15bab256ef422b6be46a71f6e5316d5756afc8c,0xa15bab256ef422b6be46a71f6e5316d5756afc8c
29 seconds ago,https://explorer.roninchain.com/tx/0xcbfb7c88646e515701d008e6b84ebcb13d1775f9b46d8c581e5e59199f8f8b89,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6641644,Axie Infinity (SN# 6641644),0.09753 ETH,$275.02,https://www.cryptoslam.io/owner/0x58416d5dd42281d99406fc860794795500262f01,0x58416d5dd42281d99406fc860794795500262f01,https://www.cryptoslam.io/owner/0xdaa3b74b3f13f0eb8cc69411f38c52acc1608c50,0xdaa3b74b3f13f0eb8cc69411f38c52acc1608c50
